Favorite Color,Favorite Music Genre,Favorite Beverage,Favorite Soft Drink,Gender
Cool,R&B and soul,Beer,Coca Cola/Pepsi,F
Warm,R&B and soul,Wine,Other,M
Cool,Rock,Vodka,Coca Cola/Pepsi,M
Cool,Hip hop,Beer,Coca Cola/Pepsi,M
Cool,R&B and soul,Whiskey,7UP/Sprite,M
Cool,Pop,Wine,7UP/Sprite,F
Warm,Rock,Other,7UP/Sprite,F
Cool,Rock,Doesn't drink,Coca Cola/Pepsi,M
Cool,Electronic,Beer,Coca Cola/Pepsi,M
Warm,R&B and soul,Whiskey,Coca Cola/Pepsi,F
Cool,Pop,Doesn't drink,Coca Cola/Pepsi,F
Cool,Electronic,Doesn't drink,Fanta,F
Warm,Electronic,Other,Coca Cola/Pepsi,M
Neutral,Hip hop,Vodka,Coca Cola/Pepsi,F
Warm,Jazz/Blues,Vodka,Coca Cola/Pepsi,M
Cool,Rock,Vodka,Coca Cola/Pepsi,M
Cool,Folk/Traditional,Whiskey,7UP/Sprite,F
Cool,Pop,Whiskey,Fanta,M
Warm,Pop,Other,7UP/Sprite,F
Cool,Pop,Beer,Coca Cola/Pepsi,F
Warm,Electronic,Wine,Coca Cola/Pepsi,F
Cool,Rock,Vodka,7UP/Sprite,F
Warm,Hip hop,Beer,Coca Cola/Pepsi,M
Cool,Hip hop,Wine,Coca Cola/Pepsi,M
Neutral,Rock,Beer,Coca Cola/Pepsi,F
Neutral,Pop,Doesn't drink,7UP/Sprite,M
Warm,Electronic,Vodka,Fanta,M
Cool,Pop,Beer,Other,F
Cool,Hip hop,Beer,Coca Cola/Pepsi,M
Cool,Hip hop,Doesn't drink,Other,M
Cool,Rock,Doesn't drink,Other,M
Cool,Folk/Traditional,Beer,Other,M
Cool,Rock,Wine,Coca Cola/Pepsi,M
Cool,Pop,Beer,Fanta,F
Warm,Pop,Other,Coca Cola/Pepsi,F
Neutral,Hip hop,Doesn't drink,Fanta,M
Cool,Rock,Wine,7UP/Sprite,M
Warm,Jazz/Blues,Doesn't drink,Fanta,F
Warm,Rock,Beer,Fanta,M
Cool,Pop,Doesn't drink,7UP/Sprite,F
Neutral,Hip hop,Beer,7UP/Sprite,M
Warm,Jazz/Blues,Wine,Coca Cola/Pepsi,F
Warm,Rock,Wine,Coca Cola/Pepsi,F
Warm,Folk/Traditional,Other,Fanta,M
Neutral,Pop,Wine,Coca Cola/Pepsi,F
Cool,Pop,Other,Fanta,M
Cool,Pop,Other,7UP/Sprite,F
Cool,Pop,Whiskey,Other,M
Cool,Rock,Vodka,Coca Cola/Pepsi,F
Cool,Rock,Other,Coca Cola/Pepsi,F
Cool,Electronic,Doesn't drink,Fanta,M
Warm,R&B and soul,Doesn't drink,Coca Cola/Pepsi,M
Cool,Rock,Beer,Coca Cola/Pepsi,F
Warm,Folk/Traditional,Whiskey,Fanta,F
Cool,Electronic,Other,Fanta,M
Cool,Rock,Vodka,Coca Cola/Pepsi,F
Cool,Electronic,Whiskey,Coca Cola/Pepsi,M
Neutral,Rock,Doesn't drink,Coca Cola/Pepsi,M
Cool,Rock,Other,Coca Cola/Pepsi,F
Cool,R&B and soul,Doesn't drink,Coca Cola/Pepsi,M
Warm,Pop,Wine,7UP/Sprite,F
Warm,Jazz/Blues,Whiskey,Fanta,F
Warm,Rock,Vodka,7UP/Sprite,M
Warm,Pop,Whiskey,Fanta,F
Warm,Rock,Other,Coca Cola/Pepsi,F
Cool,Pop,Doesn't drink,Other,F
